reference_number,determination_type,url,date
UI-2023-002193,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-002193,30 Dec 2024
EA/02764/2015,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-02764-2015,4 Mar 2019
HU/22185/2016 & HU/22171/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-22185-2016-hu-22171-2016,29 Aug 2018
PA/05472/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-05472-2017,9 Oct 2017
UI-2022-006543,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-006543,27 Jul 2023
IA/28283/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-28283-2015,12 Apr 2017
IA/17487/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-17487-2014,28 May 2015
HU/06350/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-06350-2016,6 Apr 2018
AA/09718/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-09718-2014,26 Feb 2016
HU/07510/2018 & Ors.,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07510-2018-ors,16 May 2019
VA/01586/2015,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-01586-2015,3 May 2017
HU/17929/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-17929-2016,11 Jan 2019
OA/23965/2012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-23965-2012,13 Feb 2014
IA/30516/2013 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-30516-2013-ors,5 Nov 2014
[2005] UKIAT 65,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2005-ukiat-65,9 Mar 2005
AA/02907/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-02907-2015,26 Jul 2016
OA/16228/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-16228-2013,5 May 2015
HU/07551/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07551-2018,24 May 2019
IA289752012,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia289752012,16 Jul 2013
UI-2023-004630,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-004630,28 Jan 2025
PA/00092/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00092-2017,23 Oct 2018
OA/09534/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-09534-2013,5 Jan 2015
IA/17354/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-17354-2014-ors,4 Mar 2015
UI-2024-002494,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-002494,3 Jan 2025
EA/02859/2015,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-02859-2015,7 Mar 2018
PA/05993/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-05993-2018,7 Jun 2019
HU/02309/2020,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-02309-2020,18 Nov 2021
PA/06216/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-06216-2016,4 Aug 2017
AA/05809/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-05809-2015,11 Feb 2016
JR/04288/2018,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/jr-04288-2018,7 Nov 2019
EA/01480/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-01480-2017,3 Apr 2019
DA/00381/2019,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00381-2019,9 Nov 2020
AA/03522/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-03522-2014,10 Dec 2014
RP/00111/2017,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/rp-00111-2017,29 Oct 2020
AA/07266/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-07266-2014,25 Jul 2016
IA/17276/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-17276-2014,10 Mar 2015
AA/09457/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-09457-2014,12 Jul 2016
[2013] UKUT 609,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2013-ukut-609,25 Nov 2013
IA/01439/2020 & IA/01915/2020,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-01439-2020-ia-01915-2020,28 Feb 2023
HU/12760/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12760-2017,20 Dec 2018
IA/27416/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-27416-2014-ors,28 Apr 2015
OA/09449/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-09449-2015,28 Oct 2016
PA/01338/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01338-2018,15 May 2019
IA/22097/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-22097-2014,19 Jan 2015
IA/18670/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-18670-2014,4 Sep 2015
IA/39835/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-39835-2013,12 Mar 2015
IA/05699/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-05699-2015,23 Feb 2016
IA/15707/2015 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-15707-2015-ors,18 Oct 2016
PA/03522/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03522-2018,21 Nov 2018
IA/05593/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-05593-2014,29 Sep 2014
UI-2024-001514,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001514,16 Jul 2024
PA/13751/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-13751-2017,9 Jan 2019
OA/02845/2013 & OA/02846/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-02845-2013-oa-02846-2013,28 Apr 2014
OA/06175/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-06175-2014,23 Apr 2015
UI-2022-002711,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-002711,17 Jul 2023
IA/43020/2014 & IA/43023/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-43020-2014-ia-43023-2014,28 Sep 2015
HU/17336/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-17336-2016,7 Dec 2017
DA/00473/2019,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00473-2019,19 May 2022
[2015] UKUT 0402,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2015-ukut-0402,4 Dec 2014
AA/07274/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-07274-2014,5 Aug 2016
IA/36726/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-36726-2014,5 Nov 2015
OA/09073/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-09073-2015,28 Nov 2017
AA/00444/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-00444-2014,5 Aug 2014
HU/03200/2019 & HU/09284/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03200-2019-hu-09284-2019,4 Feb 2021
LP/00272/2020,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/lp-00272-2020,3 Jan 2023
HU/14953/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-14953-2019,5 Mar 2021
UI-2024-003369,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-003369,16 Oct 2024
OA/02697/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-02697-2014,30 Mar 2015
UI-2023-005637,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-005637,5 Feb 2025
PA/02202/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02202-2016,9 Aug 2017
AA/11253/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-11253-2015,9 Jun 2016
HU/09691/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-09691-2016,24 Aug 2018
PA/06586/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-06586-2017,23 May 2018
HU/12021/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12021-2017,18 Oct 2018
HU/14375/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-14375-2015,6 Dec 2017
HU/20578/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-20578-2019,16 Nov 2021
OA/09992/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-09992-2013,5 Mar 2015
HU/07414/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07414-2018,19 Jun 2019
EA/01236/2016 & EA/01232/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-01236-2016-ea-01232-2016,10 Apr 2018
HU/04695/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-04695-2015,29 Apr 2019
HU/25164/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-25164-2016,18 Dec 2018
HU/09525/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-09525-2018,28 Aug 2019
